"vaccine","country_code","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","2051","2052","2053","2054","2055","2056","2057","2058","2059","2060","2061","2062","2063","2064","2065","2066","2067","2068","2069","2070","2071","2072","2073","2074","2075","2076","2077","2078","2079","2080","2081","2082","2083","2084","2085","2086","2087","2088","2089","2090","2091","2092","2093","2094","2095","2096","2097","2098","2099","2100"
"HepB","BLR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.93,0.99,0.56,0.99,0.99,0.98,0.91,0.98,0.98,0.96,0.98,0.97,0.98,0.97,0.99,0.96,0.98,0.98,0.97,0.97,0.98,0.98,0.981659919135907,0.983182071694926,0.984577891745921,0.985857864376269,0.98703160445349,0.988107928849973,0.989094922673347,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
"HepB","BLZ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76,0.96,0.97,0.96,0.97,0.96,0.98,0.96,0.94,0.97,0.96,0.95,0.98,0.95,0.95,0.94,0.95,0.88,0.96,0.98,0.79,0.83,0.84,0.876623133967365,0.904863430799782,0.926639676543626,0.943431457505076,0.95637969069339,0.966364143389851,0.97406320890698,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
"HepB","BOL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0.77,0.77,0.8,0.84,0.85,0.83,0.84,0.88,0.93,0.91,0.95,0.93,0.87,0.85,0.89,0.87,0.84,0.83,0.75,0.68,0.7,0.69,0.719322573055762,0.74587155485149,0.769909296459279,0.791673333440003,0.811378733116355,0.829220219819794,0.845374099112636,0.86,0.87,0.88,0.89,0.9,0.91,0.92,0.93,0.94,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
"HepB","BTN",0,0,0,0,0,0,0,0,0,0,0,0.16,0.84,0.81,0.9,0.98,0.89,0.83,0.95,0.89,0.95,0.95,0.95,0.96,0.93,0.91,0.95,0.97,0.97,0.99,0.99,0.98,0.98,0.97,0.97,0.96,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
"HepB","CAF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0.45,0.47,0.47,0.23,0.45,0.43,0.42,0.42,0.42,0.42,0.42,0.42,0.42,0.498918282303238,0.567098469293211,0.626001650689456,0.67689011157193,0.720854382933885,0.758836611574118,0.791650750141358,0.82,0.83,0.84,0.85,0.86,0.87,0.88,0.89,0.9,0.91,0.92,0.93,0.94,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
"HepB","CHN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.65,0.7,0.75,0.79,0.84,0.91,0.92,0.95,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
"HepB","CIV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.48,0.63,0.67,0.76,0.77,0.76,0.74,0.81,0.79,0.62,0.82,0.75,0.73,0.79,0.87,0.83,0.84,0.81,0.75,0.76,0.76,0.798184860339109,0.830294372515229,0.857295146199673,0.88,0.899092430169554,0.915147186257614,0.928647573099837,0.94,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
"HepB","CMR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79,0.81,0.82,0.84,0.8,0.84,0.82,0.85,0.89,0.83,0.78,0.75,0.74,0.67,0.67,0.69,0.69,0.68,0.708916466382999,0.73521992642825,0.759146501729267,0.780910976997934,0.800708728149569,0.818717476158594,0.83509888242886,0.85,0.86,0.87,0.88,0.89,0.9,0.91,0.92,0.93,0.94,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
"HepB","COD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0.68,0.71,0.6,0.7,0.71,0.71,0.73,0.7,0.7,0.71,0.71,0.73,0.7,0.65,0.65,0.677916407292602,0.703606169453415,0.72724688628928,0.749001992039777,0.769021885239347,0.787444968460307,0.804398605124746,0.82,0.83,0.84,0.85,0.86,0.87,0.88,0.89,0.9,0.91,0.92,0.93,0.94,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
"HepB","COG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0.73,0.75,0.74,0.7,0.62,0.85,0.9,0.8,0.71,0.69,0.75,0.79,0.73,0.77,0.78,0.798259110494972,0.815002788644183,0.830356809205127,0.84443650813896,0.857347648988389,0.869187217349701,0.880044149406822,0.89,0.9,0.91,0.92,0.93,0.94,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
"HepB","COL",0,0,0,0,0,0,0,0,0,0,0.71,0.95,0.85,0.75,0.77,0.78,0.8,0.78,0.92,0.89,0.93,0.93,0.94,0.92,0.92,0.88,0.85,0.92,0.91,0.9,0.91,0.91,0.92,0.92,0.92,0.88,0.86,0.87,0.884635633969308,0.897623561925665,0.909149285577492,0.919377422517014,0.928454057391654,0.936508828376307,0.943656778746821,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
"HepB","COM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.77,0.68,0.69,0.75,0.81,0.83,0.74,0.83,0.89,0.88,0.88,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.88,0.887818602664847,0.895127784099438,0.901960735655343,0.908348486100883,0.914320042524291,0.919902522056321,0.925121275010471,0.93,0.94,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
"HepB","CPV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.66,0.91,0.93,0.95,0.96,0.98,0.98,0.98,0.9,0.94,0.93,0.95,0.93,0.96,0.97,0.99,0.97,0.94,0.94,0.94,0.952160613280397,0.961856551304872,0.969587346784241,0.975751288694036,0.9806659420397,0.984584508739633,0.987708872535378,0.9902,0.9902,0.9902,0.9902,0.9902,0.9902,0.9902,0.9902,0.9902,0.9902,0.9902,0.9902,0.9902,0.9902,0.9902,0.9902,0.9902,0.9902,0.9902,0.9902,0.9902,0.9902,0.9902,0.9902,0.9902,0.9902,0.9902,0.9902,0.9902,0.9902,0.9902,0.9902,0.9902,0.9902,0.9902,0.9902,0.9902,0.9902,0.9902,0.9902,0.9902,0.9902,0.9902,0.9902,0.9902,0.9902,0.9902,0.9902,0.9902,0.9902,0.9902,0.9902,0.9902,0.9902,0.9902,0.9902,0.9902,0.9902,0.9902,0.9902,0.9902,0.9902,0.9902,0.9902,0.9902,0.9902,0.9902,0.9902,0.9902,0.9902,0.9902
"HepB","CUB",0,0,0,0,0,0,0,0,0.84,0.98,0.99,0.99,0.98,0.98,0.99,0.98,0.98,0.98,0.99,0.99,0.95,0.89,0.93,0.95,0.96,0.96,0.96,0.96,0.96,0.97,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.990012555031773,0.990025094300663,0.990037617826462,0.990050125628934,0.99006261772782,0.990075094142837,0.990087554893674,0.9901,0.9901,0.9901,0.9901,0.9901,0.9901,0.9901,0.9901,0.9901,0.9901,0.9901,0.9901,0.9901,0.9901,0.9901,0.9901,0.9901,0.9901,0.9901,0.9901,0.9901,0.9901,0.9901,0.9901,0.9901,0.9901,0.9901,0.9901,0.9901,0.9901,0.9901,0.9901,0.9901,0.9901,0.9901,0.9901,0.9901,0.9901,0.9901,0.9901,0.9901,0.9901,0.9901,0.9901,0.9901,0.9901,0.9901,0.9901,0.9901,0.9901,0.9901,0.9901,0.9901,0.9901,0.9901,0.9901,0.9901,0.9901,0.9901,0.9901,0.9901,0.9901,0.9901,0.9901,0.9901,0.9901,0.9901,0.9901,0.9901,0.9901,0.9901
"HepB","DJI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.88,0.89,0.88,0.87,0.81,0.82,0.78,0.84,0.68,0.76,0.84,0.85,0.7,0.59,0.59,0.656294980524285,0.711870389237069,0.75845952810048,0.797515432686834,0.830256189873406,0.857702927889164,0.880711663558068,0.9,0.91,0.92,0.93,0.94,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
"HepB","DMA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.93,0.96,0.99,0.98,0.98,0.97,0.96,0.97,0.98,0.99,0.91,0.94,0.99,0.97,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.93,0.94,0.95,0.96,0.97,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
"HepB","DZA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0.83,0.8,0.9,0.91,0.94,0.95,0.95,0.95,0.95,0.95,0.95,0.91,0.91,0.91,0.88,0.84,0.81,0.77,0.801779251602049,0.829167543063287,0.852771576240626,0.873114224595505,0.89064611581855,0.905755614075348,0.91877742299874,0.93,0.94,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
"HepB","ECU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36,0.69,0.75,0.82,0.88,0.92,0.96,0.94,0.93,0.91,0.9,0.88,0.88,0.87,0.83,0.78,0.83,0.85,0.85,0.85,0.7,0.68,0.7,0.74568771135992,0.784417532822149,0.817249097937753,0.845080666151703,0.868673698848144,0.88867369265145,0.905627839974471,0.92,0.93,0.94,0.95,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96
